QueryText,Sector,clean_text,label,balancing
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,HORTICULTURE,information regarding suitable varieties squash melon tinda,1,original
WEATHER IN AMRITSAR?,AGRICULTURE,weather amritsar,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
problem of wilting in bettel gourd?,HORTICULTURE,problem wilting bettel gourd,1,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF CHILLI ?,HORTICULTURE,information regarding improved varieties chilli,1,original
information regarding to varieties of sorghum,AGRICULTURE,information regarding varieties sorghum,0,original
information regarding seedpr-121?,AGRICULTURE,information regarding seedpr,0,original
weather of amritsar,AGRICULTURE,weather amritsar,0,original
PROBLEM OF CATERPILLAR IN BITTER GOURD?,HORTICULTURE,problem caterpillar bitter gourd,1,original
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,HORTICULTURE,information regarding control flower dropping,1,original
information regarding to control of red pumpkin beetle in pumpkin,HORTICULTURE,information regarding control red pumpkin beetle pumpkin,1,original
information regarding varieties of paddy ?,AGRICULTURE,information regarding varieties paddy,0,original
INFORMATION REGARDING CONTOL OF STEM ROT IN ONION?,HORTICULTURE,information regarding contol stem rot onion,1,original
INFORMATION REGARDING SOWING TIME  NURSARY OF MARIGOLD?,HORTICULTURE,information regarding sowing time nursary marigold,1,original
information regarding to control of jassid in okra,HORTICULTURE,information regarding control jassid okra,1,original
new var. of paddy ?,AGRICULTURE,new var paddy,0,original
#   INFORMATION REGARDING TO CONTROL OF WEEDS IN THE BHINDI ?,HORTICULTURE,information regarding control weeds bhindi,1,original
weather newther of Amritsar,AGRICULTURE,weather newther amritsar,0,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,HORTICULTURE,information regarding improved varieties spring summer bhindi,1,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,information regarding control yellow rust wheat,0,original
information regarding weather condition?,AGRICULTURE,information regarding weather condition,0,original
YELLOWING OF LEAVES OF GRAM?,AGRICULTURE,yellowing leaves gram,0,original
aphids problem in wheat crop?,AGRICULTURE,aphids problem wheat crop,0,original
information regarding to control of maize borer in maize,AGRICULTURE,information regarding control maize borer maize,0,original
information regarding to control of jassid in chilli,HORTICULTURE,information regarding control jassid chilli,1,original
information regarding to control of maize borer in maize,AGRICULTURE,information regarding control maize borer maize,0,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
#  INFORMATION REGARDING TO THE IRRIGATION IN THE CHILLI ?,HORTICULTURE,information regarding irrigation chilli,1,original
WHAT IS THE AMOUNT OF UREA IN TINDA?,HORTICULTURE,amount urea tinda,1,original
information regarding to control of root rot  in okra,HORTICULTURE,information regarding control root rot okra,1,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
information regarding seed rate of summer moong?,AGRICULTURE,information regarding seed rate summer moong,0,original
contact no of krishi vigyan kendra?,AGRICULTURE,contact krishi vigyan kendra,0,original
problem of stem rot in barseem?,AGRICULTURE,problem stem rot barseem,0,original
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  CAPSICUM(SHIMLA MIRCH)  SEEDLING TRANSPLANTING?,HORTICULTURE,information regarding fert dose time capsicum shimla mirch seedling transplanting,1,original
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,AGRICULTURE,information regarding control aphid wheat,0,original
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,AGRICULTURE,information regarding control yellow rust disease wheat crop,0,original
irrigation in wheat?,AGRICULTURE,irrigation wheat,0,original
WHETHER TO NEED IRRIGATE WHEAT 15 DAYS BEFORE HARVESTING?,AGRICULTURE,whether need irrigate wheat days harvesting,0,original
INFORMATION REGARDING WEATHER OF FEROZEPUR?,AGRICULTURE,information regarding weather ferozepur,0,original
problem of white fly in peach?,HORTICULTURE,problem white fly peach,1,original
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,AGRICULTURE,information regarding control termite sugarcane crop,0,original
information regarding dose of urea in bhindi?,HORTICULTURE,information regarding dose urea bhindi,1,original
control of stem rot in barseam?,AGRICULTURE,control stem rot barseam,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,information regarding suitable varieties summer maize,0,original
fertilizers of tomato?,HORTICULTURE,fertilizers tomato,1,original
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,AGRICULTURE,information regarding suitable seed rate paddy jhona per acre,0,original
INFORMATION REGARDING CHANCES OF RAINFALL IN DIST?,AGRICULTURE,information regarding chances rainfall dist,0,original
information regarding to control of root rot in  chilli,HORTICULTURE,information regarding control root rot chilli,1,original
INFORMATION REGARDING CONTROL OF APHIDS IN BRINJAL ?,HORTICULTURE,information regarding control aphids brinjal,1,original
information regarding to control of citrus psylla in citrus,HORTICULTURE,information regarding control citrus psylla citrus,1,original
INFORMATION REGARDING TO THE IRRIGATION IN THE WHEAT CROP ?,AGRICULTURE,information regarding irrigation wheat crop,0,original
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,AGRICULTURE,information regarding control aphids wheat crop,0,original
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,AGRICULTURE,information regarding control aphid wheat,0,original
WEATHER IN AMRITSAR?,AGRICULTURE,weather amritsar,0,original
WEATHJER REPORT FOR AMRITSAR?,AGRICULTURE,weathjer report amritsar,0,original
problam of deflower in guava?,HORTICULTURE,problam deflower guava,1,original
"control of dropping flower in lemon?
.",HORTICULTURE,control dropping flower lemon,1,original
WEATHER REPORT IN AMRITSAR?,AGRICULTURE,weather report amritsar,0,original
#:  INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,AGRICULTURE,information regarding improved varieties maize,0,original
#     INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
WHETHER TO NEED TO IRRIGATE WHEAT CROP BEFORE15 DAYS OF HARVEST?,AGRICULTURE,whether need irrigate wheat crop days harvest,0,original
information regarding to the weather condition ?,AGRICULTURE,information regarding weather condition,0,original
WEED INFESTION IN SUGARCANE CROP,AGRICULTURE,weed infestion sugarcane crop,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE,information regarding seed rate summer moong,0,original
contactno. of pau ludhiana?,AGRICULTURE,contactno pau ludhiana,0,original
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE,information regarding control aphid wheat,0,original
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,AGRICULTURE,information regarding control hairy catterpiller attack black gram mah crop,0,original
WHICH ARE THE NEW VARIETIES OF BASMATI?,AGRICULTURE,new varieties basmati,0,original
weather information.,AGRICULTURE,weather information,0,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,information regarding control yellow rust wheat,0,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA?,AGRICULTURE,new varieties paddy released pau ludhiana,0,original
information regarding to suitable varieties of mungbean,AGRICULTURE,information regarding suitable varieties mungbean,0,original
information regarding jassid in bhindi ?,HORTICULTURE,information regarding jassid bhindi,1,original
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE,information regarding improved varieties summer moong,0,original
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE,information regarding improved varieties summer moong,0,original
information regarding to control of stem borer in sugarcane,AGRICULTURE,information regarding control stem borer sugarcane,0,original
NFORMATION REGARDING TO irrigation IN THE SUMMER MOONG ?,AGRICULTURE,nformation regarding irrigation summer moong,0,original
information regarding to control of weed in mungbean,AGRICULTURE,information regarding control weed mungbean,0,original
asking about weather forcasting,AGRICULTURE,asking weather forcasting,0,original
how are weather today?,AGRICULTURE,weather today,0,original
information regarding to control of bihar hairy catterpiller,AGRICULTURE,information regarding control bihar hairy catterpiller,0,original
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE,chances rainfall today,0,original
INFORMATION ABOUT PAU NUMBER?,AGRICULTURE,information pau number,0,original
information regarding to control of jassid in pumpkin,HORTICULTURE,information regarding control jassid pumpkin,1,original
information regarding to control of bihar hairy catterpiller,AGRICULTURE,information regarding control bihar hairy catterpiller,0,original
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE,chances rainfall today,0,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
information regarding to new varieties of rice,AGRICULTURE,information regarding new varieties rice,0,original
INFORMATION REGARDING DOSE OF UREA FOR GUAVA SIX YEAR PLANT?,HORTICULTURE,information regarding dose urea guava six year plant,1,original
INFORMATION REGARDING TO THE CONDITION OF WEATHER,AGRICULTURE,information regarding condition weather,0,original
TERMITS PROBLEMS IN SUGARCANE CROP,AGRICULTURE,termits problems sugarcane crop,0,original
asking about weather forcasting,AGRICULTURE,asking weather forcasting,0,original
CONTECT NO. OF PAU  LUDHIANA,AGRICULTURE,contect pau ludhiana,0,original
information regarding weather condition?,AGRICULTURE,information regarding weather condition,0,original
control of termite in barseam?,AGRICULTURE,control termite barseam,0,original
control of leaf catterpillar ?,HORTICULTURE,control leaf catterpillar,1,original
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable sowing time paddy jhona,0,original
information regarding weather ?,AGRICULTURE,information regarding weather,0,original
INFORMATION REGARDING TO THE SEED RATE OF[SPRING SEASON] MAIZ CROP ?,AGRICULTURE,information regarding seed rate spring season maiz crop,0,original
WEATHER IN AMRITSAR?,AGRICULTURE,weather amritsar,0,original
WEATHER INFROAMTION?,AGRICULTURE,weather infroamtion,0,original
BARSEEM CATERPILLAR PROBLEM?,AGRICULTURE,barseem caterpillar problem,0,original
INFORMATION REGARDING THE FOLIAR SPRAY OF ZnSo4 IN CITRUS.?,HORTICULTURE,information regarding foliar spray znso citrus,1,original
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,HORTICULTURE,information regarding control flower dropping,1,original
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,AGRICULTURE,information regarding sowing time bajra,0,original
information regarding to weather?,AGRICULTURE,information regarding weather,0,original
CONTECT NO. OF PAU  LUDHIANA,AGRICULTURE,contect pau ludhiana,0,original
information regading improved varieties of paddy.,AGRICULTURE,information regading improved varieties paddy,0,original
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,HORTICULTURE,information regarding control late blight disease tomato crop,1,original
WEATHER REPORT?,AGRICULTURE,weather report,0,original
ASKINGH NEW VERITIES OF COTTON CROP?,AGRICULTURE,askingh new verities cotton crop,0,original
weather of amritsar ?,AGRICULTURE,weather amritsar,0,original
information regarding to new varieties of basmati rice,AGRICULTURE,information regarding new varieties basmati rice,0,original
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,HORTICULTURE,information regarding dose urea tomato,1,original
control of worm in bhindi?,HORTICULTURE,control worm bhindi,1,original
fruit droping problem in citrus,HORTICULTURE,fruit droping problem citrus,1,original
asking about new verities of rice crop,AGRICULTURE,asking new verities rice crop,0,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE,information regarding improved varieties summer moong,0,original
cont no of pau?,AGRICULTURE,cont pau,0,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,information regarding control yellow rust wheat,0,original
information regarding to control of root rot in okra,HORTICULTURE,information regarding control root rot okra,1,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY ?,AGRICULTURE,information regarding chance rainfall today,0,original
information regarding to new varieties of rice,AGRICULTURE,information regarding new varieties rice,0,original
FOR CONTROL PEST ATTACK ON WHEAT?,AGRICULTURE,control pest attack wheat,0,original
information regading improved varieties of paddy.,AGRICULTURE,information regading improved varieties paddy,0,original
control of stem borer?,AGRICULTURE,control stem borer,0,original
information regarding to seed of rice variety?,AGRICULTURE,information regarding seed rice variety,0,original
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,AGRICULTURE,information regarding sowing time bajra,0,original
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,AGRICULTURE,information regarding control rice stemborer paddy jhona crop,0,original
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE,information regarding weather amritsar,0,original
asking about new verities of rice crop,AGRICULTURE,asking new verities rice crop,0,original
information regarding to seed rate  of turmeric,HORTICULTURE,information regarding seed rate turmeric,1,original
information regarding to suitable varieties of  cotton,AGRICULTURE,information regarding suitable varieties cotton,0,original
INFORMATION REGARDING NURSERY SOWING TIME OF RICE CROP ?,AGRICULTURE,information regarding nursery sowing time rice crop,0,original
CHANCES OF RAINFALL IN DIST TODAY?,AGRICULTURE,chances rainfall dist today,0,original
WEATHER IN AMRITSAR?,AGRICULTURE,weather amritsar,0,original
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,AGRICULTURE,information regarding control termite sugarcane crop,0,original
how to seed treatment of maize ?,AGRICULTURE,seed treatment maize,0,original
what is the dose of 24 D in sugarcane?,AGRICULTURE,dose sugarcane,0,original
how to control of weed of sugarcane  ?,AGRICULTURE,control weed sugarcane,0,original
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE,information regarding control aphid wheat,0,original
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE,information regarding seed rate summer moong,0,original
INFORMATION REGARDING SEED RATE OF MAIZE FOR FODDER?,AGRICULTURE,information regarding seed rate maize fodder,0,original
WHAT IS THE YIELD OF PR 122?,AGRICULTURE,yield pr,0,original
what is the contact number of pau?,AGRICULTURE,contact number pau,0,original
information regarding to control of catterpiller in tomato,HORTICULTURE,information regarding control catterpiller tomato,1,original
INFORMATION REGARDING THE NEW RELEASED VARIETIES OF PADDY.?,AGRICULTURE,information regarding new released varieties paddy,0,original
information regarding control of weed in sugarcane?,AGRICULTURE,information regarding control weed sugarcane,0,original
flower droping in citrus?,HORTICULTURE,flower droping citrus,1,original
INFORMATION CONTROL OF TERMITE IN WHEAT?,AGRICULTURE,information control termite wheat,0,original
information regarding to control of seed rate of fodder maize,AGRICULTURE,information regarding control seed rate fodder maize,0,original
flower droping problem in citrus,HORTICULTURE,flower droping problem citrus,1,original
INFORMATION REGARDING IMPROVED VARIETY OF TEOSINTE?,AGRICULTURE,information regarding improved variety teosinte,0,original
information regarding to seed rate  fodder maize,AGRICULTURE,information regarding seed rate fodder maize,0,original
NEW VARIETIES OF RICE?,AGRICULTURE,new varieties rice,0,original
: IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE,chances rainfall today,0,original
INFORMATION REGARDING FOR THE SOWING TIME OF GREEN GRAM(MOONGI)?,AGRICULTURE,information regarding sowing time green gram moongi,0,original
information regarding to  control of jassid in wheat,AGRICULTURE,information regarding control jassid wheat,0,original
wheather in amitsar?,AGRICULTURE,wheather amitsar,0,original
ASKING ABOUT WEATHER FORCASTING?,AGRICULTURE,asking weather forcasting,0,original
cont no of pau?,AGRICULTURE,cont pau,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
wheather of dist today?,AGRICULTURE,wheather dist today,0,original
INFORMATION REGARDING CONTROL OF EARLY BLIGHT IN TOMATO?,HORTICULTURE,information regarding control early blight tomato,1,original
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE,information regarding weather amritsar,0,original
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,AGRICULTURE,information regarding control hairy catterpiller attack green gram moongi crop,0,original
information regarding dose of urea in onion?,HORTICULTURE,information regarding dose urea onion,1,original
information regarding weather condition?,AGRICULTURE,information regarding weather condition,0,original
INFORMATION REGARDING CHANCE OF RAINFALL?,AGRICULTURE,information regarding chance rainfall,0,original
information regarding to control of jassid in pumpkin,HORTICULTURE,information regarding control jassid pumpkin,1,original
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,HORTICULTURE,information regarding control fuzarium wilt disease tomato crop,1,original
information regarding to control of collar rot in okra,HORTICULTURE,information regarding control collar rot okra,1,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,information regarding current weather condition,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
WHAT IS THE DATE OF SOWING OF RICE?,AGRICULTURE,date sowing rice,0,original
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,AGRICULTURE,information regarding control aphids wheat,0,original
problem of flower droping in chilli?,HORTICULTURE,problem flower droping chilli,1,original
INFORMATION REGARDING CONTROL OF APHIDS IN BHIND ?,HORTICULTURE,information regarding control aphids bhind,1,original
INFORMATION78 REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE,information regarding control aphid wheat,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,information regarding control early shoot borer sugarcane crop,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
VARRITIES OF RICE?,AGRICULTURE,varrities rice,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
"INFORMATION REGARDING TO CONTROL OF THRIPS,MITES,APHIDS AND WHITEFLY IN CHILLI ?",HORTICULTURE,information regarding control thrips mites aphids whitefly chilli,1,original
INFORMATION REGARDING TO CONTROL OF GRAM POD BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control gram pod borer wheat crop,0,original
how are weather today?,AGRICULTURE,weather today,0,original
Qury-weather of amritsar ??,AGRICULTURE,qury weather amritsar,0,original
information regarding to new variety of rice?,AGRICULTURE,information regarding new variety rice,0,original
CHANCE OF RAINFALL TODAY.,AGRICULTURE,chance rainfall today,0,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,information regarding chance rainfall today,0,original
control of catterpillar ?,AGRICULTURE,control catterpillar,0,original
how are weather today?,AGRICULTURE,weather today,0,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,information regarding new varieties rice,0,original
#  INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,information regarding latest varieties rice crop,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
HOW TO CONTROL WHITE FLY &TELLA IN BHINDI CROP ?,HORTICULTURE,control white fly tella bhindi crop,1,original
: INFORMATION REGARDING LATEST VARIETIES OF JOWAR?,AGRICULTURE,information regarding latest varieties jowar,0,original
ASKING ABOUT WEATHER FORCASTING?,AGRICULTURE,asking weather forcasting,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE,information regarding seed rate summer moong,0,original
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,AGRICULTURE,information regarding control aphids wheat,0,original
INFORMATION REGARDINDING TRAINING?,AGRICULTURE,information regardinding training,0,original
information regarding nursery sowing time of paddy ?,AGRICULTURE,information regarding nursery sowing time paddy,0,original
YELLOWING OF LEAVES OF GUAVA?,HORTICULTURE,yellowing leaves guava,1,original
WHAT IS THE VARIETY OF MAIZE?,AGRICULTURE,variety maize,0,original
information regarding planting time of brinjal?,HORTICULTURE,information regarding planting time brinjal,1,original
varrities of rice?,AGRICULTURE,varrities rice,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
CHANCES OF RAINFALL ?,AGRICULTURE,chances rainfall,0,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,information regarding chance rainfall today,0,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,information regarding new varieties rice,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
how are weather today?,AGRICULTURE,weather today,0,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,information regarding control stem borer wheat crop,0,original
INFORMATION REGARDING TO THE SOWING SEASON OF (PETHHA),HORTICULTURE,information regarding sowing season pethha,1,original
INFORMATION REGARDING FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP?,AGRICULTURE,information regarding control catterpiller barseem crop,0,original
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?,AGRICULTURE,information regarding control weeds sugarcane crop,0,original
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,HORTICULTURE,information regarding control fruit borer tomato crop,1,original
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?",HORTICULTURE,information regarding control melon aphids cucumber beetle flea beetle cucumber kheera crop,1,original
information regarding to catterpiller?,HORTICULTURE,information regarding catterpiller,1,original
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,AGRICULTURE,information regarding control grass hopper attack bajra crop,0,original
INFORMATION REGARDING TO THE CONTROL OF THRIP IN THE SUMMER MOONG ?,AGRICULTURE,information regarding control thrip summer moong,0,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,information regarding suitable varieties paddy jhona,0,original
INFORMATION ABOUT TIME OF SOWING OF RICE CROP?,AGRICULTURE,information time sowing rice crop,0,original
ASKING ABOUT VERITIES OF CUCUMBER,HORTICULTURE,asking verities cucumber,1,original
INFORMATION REGARDING IMPROVED VARIETIES OF RICE?,AGRICULTURE,information regarding improved varieties rice,0,original
information regarding dose of urea in chilli?,HORTICULTURE,information regarding dose urea chilli,1,original
IMPROVED VAR. OF RICE?,AGRICULTURE,improved var rice,0,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,information regarding new varieties rice,0,original
#:  INFORMATION REGARDING CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL ?,HORTICULTURE,information regarding control fruit shoot borer brinjal,1,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,information regarding chance rainfall today,0,original
INFORMATION REGARDING IMPROVED VARIETIES OF RICE CROP?,AGRICULTURE,information regarding improved varieties rice crop,0,original
